date,CPI(YoY),Core CPI(YoY),YoY: Apparel,YoY: Transport,YoY: Medical Care,YoY: Recreation,YoY: Education & Communication,YoY: Other Goods & Services,CPI(MoM),Core CPI(MoM),MoM: Other Goods & Services,MoM: Education & Communication,MoM: Recreation,MoM: Medical Care,MoM: Transport,MoM: Apparel,MoM: Housing,MoM: Food & Beverages
1947-02-01,,,,,,,,,0.7,,,,,0.8,0,1,,
1947-03-01,,,,,,,,,1.8,,,,,0,1.1,1.5,,
1947-04-01,,,,,,,,,0,,,,,0.8,1.1,0.8,,
1947-05-01,,,,,,,,,-0.2,,,,,0.7,0,0.3,,
1947-06-01,,,,,,,,,0.6,,,,,0,0.5,0.5,,
1947-07-01,,,,,,,,,0.7,,,,,0,0.5,0,,
1947-08-01,,,,,,,,,0.8,,,,,0.7,0,0.3,,
1947-09-01,,,,,,,,,2,,,,,0.7,1.1,0.2,,
1947-10-01,,,,,,,,,0.3,,,,,0.7,0.5,0.5,,
1947-11-01,,,,,,,,,0.7,,,,,0,1.1,0.5,,
1947-12-01,,,,,,,,,1.5,,,,,0.7,0.5,1,,
1948-01-01,10.2,,7.6,9.5,6.1,,,,1.2,,,,,0.7,2.6,0.7,,
1948-02-01,9.5,,7.7,8.9,5.3,,,,0,,,,,0,-0.5,1.2,,
1948-03-01,6.8,,6.6,8.3,6,,,,-0.7,,,,,0.7,0.5,0.5,,
1948-04-01,8.3,,6,8.7,6.7,,,,1.4,,,,,1.4,1.5,0.2,,
1948-05-01,9.4,,6.8,8.7,5.9,,,,0.8,,,,,0,0,1,,
1948-06-01,9.4,,6,8.7,6.7,,,,0.6,,,,,0.7,0.5,-0.2,,
1948-07-01,9.8,,6.8,13.5,7.4,,,,1,,,,,0.7,5,0.7,,
1948-08-01,9.1,,7.5,15.1,7.4,,,,0.1,,,,,0.7,1.4,0.9,,
1948-09-01,6.7,,7.2,14.4,5.8,,,,-0.3,,,,,-0.7,0.5,0,,
1948-10-01,6.1,,6.7,14.4,5.8,,,,-0.2,,,,,0.7,0.5,0,,
1948-11-01,4.8,,5.9,13.7,6.5,,,,-0.6,,,,,0.7,0.5,-0.2,,
1948-12-01,2.7,,4.9,13.1,5.8,,,,-0.5,,,,,0,0,0,,
1949-01-01,1.4,,2.2,10.2,5,,,,-0.2,,,,,0,0,-1.9,,
1949-02-01,1,,0,11.8,5.7,,,,-0.4,,,,,0.7,0.9,-0.9,,
1949-03-01,1.7,,-1,11.7,5,,,,0,,,,,0,0.5,-0.5,,
1949-04-01,0.4,,-1.9,10.6,3.5,,,,0,,,,,0,0.5,-0.7,,
1949-05-01,-0.4,,-3.3,11.6,3.5,,,,0,,,,,0,0.9,-0.5,,
1949-06-01,-1,,-3.3,10.5,2.8,,,,0,,,,,0,-0.5,-0.2,,
1949-07-01,-2.9,,-4.4,5.7,2.1,,,,-0.9,,,,,0,0.5,-0.5,,
1949-08-01,-3,,-6,4.7,2.1,,,,0,,,,,0.7,0.5,-0.7,,
1949-09-01,-2.5,,-6.7,3.7,2.8,,,,0.2,,,,,0,-0.4,-0.7,,
1949-10-01,-2.6,,-7.4,3.7,2.1,,,,-0.3,,,,,0,0.5,-0.7,,
1949-11-01,-1.9,,-7.4,3.2,1.4,,,,0.1,,,,,0,0,-0.3,,
1949-12-01,-1.8,,-7.4,4.2,1.4,,,,-0.4,,,,,0,0.9,0,,
1950-01-01,-2.1,,-5.9,3.7,1.4,,,,-0.4,,,,,0,-0.4,-0.3,,
1950-02-01,-1.3,,-5,2.8,1.4,,,,0.4,,,,,0.7,0,0,,
1950-03-01,-1.1,,-4.6,2.3,0.7,,,,0.1,,,,,-0.7,0,0,,
1950-04-01,-1.1,,-3.9,1.8,1.4,,,,0,,,,,0.7,0,0,,
1950-05-01,-0.6,,-3.4,1.4,1.4,,,,0.5,,,,,0,0.4,0,,
1950-06-01,-0.2,,-3.2,1.8,1.4,,,,0.5,,,,,0,0,0,,
1950-07-01,1.6,,-2.2,2.3,2,,,,0.8,,,,,0.7,0.9,0.5,,
1950-08-01,2.1,,-1,2.7,1.3,,,,0.5,,,,,0,0.9,0.5,,
1950-09-01,2.5,,1,3.2,2,,,,0.6,,,,,0.7,0,1.2,,
1950-10-01,3.5,,3.3,2.7,2.7,,,,0.7,,,,,0.7,0,1.5,,
1950-11-01,3.8,,4.3,3.1,2.7,,,,0.4,,,,,0,0.4,0.7,,
1950-12-01,5.8,,5.3,3.1,3.4,,,,1.5,,,,,0.7,0.9,1,,
1951-01-01,8,,7.3,4,3.4,,,,1.6,,,,,0,0.4,1.7,,
1951-02-01,9.4,,9.1,5.4,3.3,,,,1.8,,,,,0.6,1.3,1.6,,
1951-03-01,9.5,,9.6,6.3,5.4,,,,0.2,,,,,1.3,0.8,0.5,,
1951-04-01,9.6,,10.3,6.7,4.7,,,,0.2,,,,,0,0.4,0.7,,
1951-05-01,9.3,,10.6,6.7,5.3,,,,0.3,,,,,0.6,0.4,0.2,,
1951-06-01,8.6,,10.6,7.1,5.3,,,,-0.2,,,,,0,0.4,0,,
1951-07-01,7.6,,10.3,6.2,4.6,,,,-0.1,,,,,0,0,0.2,,
1951-08-01,6.9,,9.7,5.7,5.3,,,,-0.2,,,,,0.6,0.4,0,,
1951-09-01,6.9,,10.3,6.6,4.6,,,,0.7,,,,,0,0.8,1.8,,
1951-10-01,6.8,,8.5,7,4.6,,,,0.5,,,,,0.6,0.4,-0.2,,
1951-11-01,7,,7,7.8,5.2,,,,0.6,,,,,0.6,1.2,-0.7,,
1951-12-01,6,,5.7,7.3,5.8,,,,0.6,,,,,1.2,0.4,-0.2,,
1952-01-01,4.2,,3.1,7.3,5.8,,,,-0.1,,,,,0,0.4,-0.9,,
1952-02-01,2.2,,1.4,6.8,5.8,,,,-0.2,,,,,0.6,0.8,0,,
1952-03-01,2,,0.5,6.3,5.1,,,,-0.1,,,,,0.6,0.4,-0.5,,
1952-04-01,2.1,,-0.5,6.7,5.1,,,,0.3,,,,,0,0.8,-0.2,,
1952-05-01,1.8,,-0.7,6.7,4.4,,,,0,,,,,0,0.4,0,,
1952-06-01,2.3,,-0.9,7.1,6.3,,,,0.2,,,,,1.8,0.8,-0.2,,
1952-07-01,3,,-1.1,7.9,7,,,,0.6,,,,,0.6,0.8,0,,
1952-08-01,3.2,,-1.4,7,6.3,,,,0,,,,,0,-0.4,-0.2,,
1952-09-01,2.3,,-3.3,6.6,6.3,,,,-0.2,,,,,0,0.4,-0.2,,
1952-10-01,2,,-3.6,6.5,5.6,,,,0.2,,,,,0,0.4,-0.5,,
1952-11-01,1.4,,-3.2,5.6,5,,,,0,,,,,0,0.4,-0.2,,
