date,USDKRW,GBPKRW,CADKRW,CHFKRW,HKDKRW,SEKKRW,AUDKRW,DKKKRW,NOKKRW,SARKRW,KWDKRW,BHDKRW,AEDKRW,JPYKRW,THBKRW,SGDKRW,INRKRW,MYRKRW,100 IDRKRW,RMBKRW,NZDKRW,EURKRW
2011-03-23,1123.0,1837.56,1143.35,1249.17,144.08,178.28,1133.22,213.69,201.53,299.45,4055.62,2978.62,305.76,1389.51,37.1,887.89,24.98,370.69,12.88,171.19,831.24,1593.42
2011-03-24,1119.5,1815.38,1144.45,1228.33,143.62,176.85,1135.28,211.59,199.98,298.53,4036.42,2969.34,304.8,1384.15,36.94,885.68,25.01,369.53,12.83,170.71,835.37,1577.82
2011-03-25,1113.5,1790.17,1141.11,1217.87,142.86,175.38,1138.33,211.33,199.89,296.92,4014.06,2953.42,303.17,1371.64,36.8,882.82,24.94,367.73,12.79,169.73,836.02,1575.6
2011-03-28,1114.0,1778.95,1136.73,1212.19,142.93,174.35,1145.75,210.11,198.47,297.05,4012.97,2954.91,303.29,1362.69,36.79,883.01,24.83,368.03,12.79,169.89,836.95,1567.29
2011-03-29,1110.5,1780.69,1139.44,1212.34,142.41,174.88,1139.48,210.72,199.12,296.11,4003.1,2945.47,302.35,1359.07,36.63,880.65,24.85,366.99,12.76,169.26,837.21,1571.02
2011-03-30,1101.0,1769.42,1132.02,1194.27,141.29,174.21,1135.68,208.29,197.05,293.59,3970.29,2920.27,299.77,1325.55,36.28,872.15,24.59,363.91,12.63,167.81,837.09,1553.95
2011-03-31,1096.5,1769.09,1129.83,1198.36,140.86,174.41,1133.67,208.82,198.28,292.4,3953.63,2908.49,298.55,1323.96,36.25,870.17,24.57,362.26,12.61,167.43,835.42,1558.13
2011-04-01,1091.0,1749.42,1125.9,1183.3,140.25,173.01,1128.64,207.18,197.32,290.92,3938.63,2893.52,297.05,1303.31,36.01,865.19,24.54,360.48,12.55,166.6,831.56,1545.62
2011-04-04,1087.0,1754.96,1129.47,1177.94,139.75,172.18,1128.96,207.28,197.53,289.85,3920.79,2883.06,295.97,1293.28,35.95,862.53,24.55,359.17,12.57,166.23,835.9,1544.63
2011-04-05,1090.0,1770.16,1127.43,1182.21,140.22,171.63,1125.53,207.34,198.54,290.66,3930.34,2891.02,296.78,1293.31,36.1,864.53,24.53,360.2,12.59,166.67,839.3,1546.06
2011-04-06,1086.0,1769.09,1129.6,1184.3,139.69,172.3,1127.92,208.09,199.52,289.6,3916.76,2880.71,295.68,1279.91,36.01,861.7,24.53,358.83,12.56,166.01,841.43,1552.44
2011-04-07,1088.5,1778.06,1135.04,1185.73,140.01,171.9,1141.84,208.68,198.85,290.25,3929.74,2887.34,296.36,1276.83,36.14,863.27,24.66,359.12,12.56,166.33,846.85,1556.23
2011-04-08,1083.5,1779.0,1134.55,1185.45,139.4,173.44,1140.06,209.29,199.94,288.92,3910.71,2874.08,295.0,1271.71,36.08,861.77,24.56,358.44,12.54,165.69,845.56,1560.67
2011-04-11,1086.0,1775.18,1136.34,1195.64,139.8,174.6,1146.27,210.56,200.61,289.58,3929.09,2880.64,295.68,1283.23,36.09,864.99,24.52,359.6,12.56,166.17,849.9,1569.16
2011-04-12,1091.0,1773.31,1140.02,1209.13,140.4,173.75,1143.91,211.39,200.0,290.92,3939.77,2893.98,297.04,1293.27,36.2,868.22,24.71,360.42,12.61,166.72,854.25,1576.06
2011-04-13,1087.0,1767.14,1129.94,1211.82,139.83,174.06,1140.05,211.4,199.96,289.85,3929.72,2883.37,295.95,1294.82,36.06,865.58,24.44,359.55,12.57,166.38,858.95,1576.48
2011-04-14,1088.5,1779.7,1133.85,1218.24,139.98,174.74,1146.19,211.44,200.37,290.26,3936.0,2887.34,296.36,1305.94,36.11,872.34,24.58,360.01,12.58,166.6,863.4,1577.13
2011-04-15,1090.0,1779.97,1131.06,1220.74,140.19,175.73,1147.33,211.31,201.53,290.64,3941.42,2891.02,296.75,1309.31,36.15,875.29,24.52,360.63,12.58,166.89,867.64,1576.14
2011-04-18,1088.5,1770.66,1132.67,1215.11,139.97,174.86,1147.28,209.45,200.98,290.25,3936.0,2887.34,296.36,1313.98,36.15,873.95,24.54,360.13,12.56,166.67,861.87,1560.26
2011-04-19,1090.0,1772.34,1129.88,1215.43,140.15,173.93,1141.23,208.29,199.63,290.66,3937.58,2891.02,296.75,1321.85,36.22,873.54,24.47,360.21,12.57,166.85,856.63,1553.69
2011-04-20,1080.0,1763.42,1133.98,1207.78,138.86,175.51,1149.66,209.45,200.86,287.98,3902.44,2864.49,294.03,1304.03,36.05,870.62,24.35,358.09,12.48,165.46,861.84,1562.65
2011-04-21,1080.0,1785.24,1139.0,1223.1,138.99,177.17,1160.35,211.85,202.97,287.98,3911.48,2864.87,294.05,1315.79,36.13,874.49,24.38,358.95,12.54,165.67,864.97,1578.85
2011-04-22,1080.5,1784.99,1133.79,1219.94,139.11,177.07,1159.38,210.99,201.77,288.13,3914.15,2865.82,294.17,1318.49,36.06,876.25,24.45,359.52,12.53,165.87,865.8,1573.75
2011-04-25,1081.5,1787.5,1136.75,1224.94,139.18,177.84,1162.07,211.57,202.07,288.38,3927.73,2869.08,294.45,1318.42,36.13,876.13,24.33,361.1,12.55,165.56,867.69,1579.1
2011-04-26,1084.5,1792.14,1138.82,1237.59,139.54,178.25,1166.6,212.69,203.78,289.18,3935.76,2876.43,295.25,1326.61,36.17,878.92,24.37,362.89,12.54,166.14,873.02,1585.86
2011-04-27,1079.5,1786.9,1133.57,1235.13,138.92,177.55,1168.77,212.63,203.53,287.86,3921.6,2863.4,293.91,1319.68,36.03,876.22,24.29,362.47,12.52,165.77,871.26,1584.6
2011-04-28,1072.0,1788.42,1131.16,1228.65,137.95,177.25,1170.95,213.25,203.18,285.86,3892.52,2843.58,291.85,1314.53,35.88,873.25,24.19,361.92,12.51,164.85,861.14,1590.85
2011-04-29,1069.0,1782.77,1123.25,1231.99,137.59,177.9,1168.1,212.65,203.65,285.05,3895.06,2835.62,291.03,1311.98,35.75,871.94,24.11,360.69,12.49,164.63,859.26,1587.47
2011-05-02,1065.0,1775.99,1123.65,1225.55,137.13,176.82,1165.86,211.48,202.7,284.02,3881.62,2824.93,289.96,1306.91,35.64,870.95,24.02,359.49,12.47,164.07,859.99,1577.58
2011-05-03,1070.0,1764.22,1126.32,1236.85,137.77,177.35,1164.27,212.35,203.65,285.33,3902.97,2838.27,291.32,1321.15,35.72,871.55,24.07,360.33,12.53,164.75,857.93,1583.49
2011-05-04,1074.0,1770.49,1126.97,1248.55,138.28,177.46,1167.44,214.24,203.26,286.38,3913.28,2848.58,292.4,1326.25,35.79,874.31,24.11,361.07,12.57,165.33,853.72,1597.04
2011-05-06,1086.0,1780.71,1122.6,1244.41,139.73,174.87,1158.44,211.59,198.14,289.58,3956.28,2880.64,295.67,1350.75,35.92,877.72,24.24,361.46,12.66,167.25,855.12,1577.85
2011-05-09,1081.0,1770.14,1121.02,1236.13,139.1,173.44,1164.89,209.13,197.69,288.24,3927.34,2867.37,294.3,1340.53,35.81,876.65,24.2,362.14,12.64,166.48,858.42,1559.34
2011-05-11,1075.0,1762.79,1128.37,1223.4,138.32,173.0,1169.28,207.69,198.52,286.65,3905.54,2851.76,292.68,1332.59,35.77,874.55,24.08,360.74,12.6,165.59,856.13,1549.83
2011-05-12,1088.0,1770.83,1127.11,1227.16,139.99,172.16,1151.87,207.09,197.59,290.13,3952.77,2886.25,296.22,1343.21,35.91,876.15,24.22,361.46,12.7,167.44,856.8,1544.2
2011-05-13,1085.0,1767.25,1127.86,1229.88,139.59,173.1,1160.95,208.41,198.32,289.32,3936.15,2878.06,295.4,1346.82,35.93,875.99,24.18,361.37,12.71,166.96,861.71,1553.18
2011-05-16,1092.0,1769.04,1124.03,1229.73,140.49,171.48,1154.68,207.09,196.47,291.18,3960.11,2896.55,297.31,1350.15,36.04,874.37,24.22,358.97,12.76,167.83,856.56,1543.21
2011-05-17,1090.0,1775.83,1120.59,1229.69,140.16,171.76,1154.09,207.3,195.52,290.65,3938.57,2891.63,296.77,1334.31,35.94,873.82,24.21,358.02,12.73,167.47,850.53,1545.84
2011-05-18,1089.0,1764.18,1121.29,1236.8,140.08,172.97,1156.08,208.14,196.25,290.38,3943.51,2888.75,296.48,1343.12,36.02,876.6,24.17,359.11,12.74,167.39,858.68,1552.37
2011-05-19,1087.0,1755.94,1121.66,1230.61,139.82,171.91,1155.37,207.18,195.67,289.85,3939.12,2883.52,295.94,1326.58,35.9,877.18,24.14,358.86,12.71,167.08,858.4,1545.28
