,date,Non Farm Payroll(sa),Chg. 1st,Chg. 2nd,Chg. 3rd,Private,Government,Goods Producing,Service Providing,Natural Resources & Mining (NR),Construction (CO),Manufacturing,TU: Wholesale Trade (WT),TU: Retail Trade (RT),TU: Transportation & Warehousing (TW),TU: Utilities (UT),INFormation (IF),Financial Activities (FA),Professional & Business Services (PB),EH: Private Educational (ES),EH: Health Care & Social Assistance (HS),Leisure & Hospitality (LH),Other Services (OS),Federal (FG),State (SG),Local (LG),FG: excl US Postal Service (FD),FG: US Postal Service (UP),SG: Education,SG: excl Education (SE),LG: Education,LG: excl Education (LE)
0,1939-01-01,29923,,,,25935,3988,11098,18825,882,1139,9077,1472.3,3107.8,,,1112,1371,1943,,,1860,543,912,,,593.8,315.9,,,,
1,1939-02-01,30100,,,,26099,4001,11221,18879,884,1162,9175,1473.3,3121.8,,,1118,1372,1950,,,1867,544,925,,,606.3,315.3,,,,
2,1939-03-01,30280,,,,26278,4002,11383,18897,883,1225,9275,1463.4,3139.7,,,1126,1376,1958,,,1877,546,929,,,610.2,314,,,,
3,1939-04-01,30094,,,,26092,4002,11182,18912,624,1249,9309,1473.5,3154.8,,,1127,1370,1957,,,1887,546,933,,,611.5,316.8,,,,
4,1939-05-01,30299,,,,26293,4006,11298,19001,737,1262,9299,1480.6,3151.7,,,1125,1379,1968,,,1888,550,941,,,623.7,315.3,,,,
5,1939-06-01,30502,,,,26499,4003,11447,19055,868,1264,9315,1484.5,3152.9,,,1131,1381,1980,,,1895,553,948,,,628.5,317.2,,,,
6,1939-07-01,30419,,,,26400,4019,11304,19115,852,1221,9231,1491.2,3165.8,,,1131,1386,1985,,,1897,555,954,,,631.6,319.5,,,,
7,1939-08-01,30663,,,,26617,4046,11495,19168,859,1236,9400,1493,3165.9,,,1134,1392,1990,,,1899,555,962,,,638.8,319.8,,,,
8,1939-09-01,31031,,,,26955,4076,11692,19339,885,1203,9604,1518.9,3185,,,1152,1406,2010,,,1918,560,970,,,644,320.5,,,,
9,1939-10-01,31411,,,,27322,4089,11984,19427,925,1186,9873,1540.5,3186.1,,,1179,1398,2021,,,1910,557,968,,,644.6,320.7,,,,
10,1939-11-01,31470,,,,27361,4109,12007,19463,939,1172,9896,1531.7,3192,,,1179,1400,2027,,,1913,559,975,,,650.8,318.9,,,,
