date,DXY,SPX
2011-06-06,,1286.17
2011-06-07,,1284.94
2011-06-08,,1279.56
2011-06-09,,1289.0
2011-06-10,,1270.98
2011-06-13,,1271.83
2011-06-14,,1287.87
2011-06-15,,1265.42
2011-06-16,,1267.64
2011-06-17,,1271.5
2011-06-20,,1278.36
2011-06-21,,1295.52
2011-06-22,,1287.14
2011-06-23,,1283.5
2011-06-24,,1268.45
2011-06-27,,1280.1
2011-06-28,,1296.67
2011-06-29,,1307.41
2011-06-30,,1320.64
2011-07-01,,1339.67
2011-07-05,,1337.88
2011-07-06,,1339.22
2011-07-07,,1353.22
2011-07-08,,1343.8
2011-07-11,,1319.49
2011-07-12,,1313.64
2011-07-13,,1317.72
2011-07-14,,1308.87
2011-07-15,,1316.14
2011-07-18,,1305.44
2011-07-19,,1326.73
2011-07-20,,1325.84
2011-07-21,,1343.8
2011-07-22,,1345.02
2011-07-25,,1337.43
2011-07-26,,1331.94
2011-07-27,,1304.89
2011-07-28,,1300.67
2011-07-29,,1292.28
2011-08-01,,1286.94
2011-08-02,,1254.05
2011-08-03,,1260.34
2011-08-04,,1200.07
2011-08-05,,1199.38
2011-08-08,,1119.46
2011-08-09,,1172.53
2011-08-10,,1120.76
2011-08-11,,1172.64
2011-08-12,,1178.81
2011-08-15,,1204.49
2011-08-16,,1192.76
2011-08-17,,1193.89
2011-08-18,,1140.65
2011-08-19,,1123.53
2011-08-22,,1123.82
2011-08-23,,1162.35
2011-08-24,,1177.6
2011-08-25,,1159.27
2011-08-26,,1176.8
2011-08-29,,1210.08
2011-08-30,,1212.92
2011-08-31,,1218.89
2011-09-01,,1204.42
2011-09-02,,1173.97
2011-09-06,,1165.24
2011-09-07,,1198.62
2011-09-08,,1185.9
2011-09-09,,1154.23
2011-09-12,,1162.27
2011-09-13,,1172.87
2011-09-14,,1188.68
2011-09-15,,1209.11
2011-09-16,,1216.01
2011-09-19,,1204.09
2011-09-20,,1202.09
2011-09-21,,1166.76
2011-09-22,,1129.56
2011-09-23,,1136.43
2011-09-26,,1162.95
2011-09-27,,1175.38
2011-09-28,,1151.06
2011-09-29,,1160.4
2011-09-30,,1131.42
2011-10-03,,1099.23
2011-10-04,,1123.95
2011-10-05,,1144.03
2011-10-06,,1164.97
2011-10-07,,1155.46
2011-10-10,,1194.89
2011-10-11,,1195.54
2011-10-12,,1207.25
2011-10-13,,1203.66
2011-10-14,,1224.58
2011-10-17,,1200.86
2011-10-18,,1225.38
2011-10-19,,1209.88
2011-10-20,,1215.39
2011-10-21,,1238.25
2011-10-24,,1254.19
2011-10-25,,1229.05
2011-10-26,,1242.0
2011-10-27,,1284.59
2011-10-28,,1285.09
2011-10-31,,1253.3
2011-11-01,,1218.28
2011-11-02,77.017,1237.9
2011-11-03,76.672,1261.15
2011-11-04,76.962,1253.23
2011-11-07,76.962,1261.12
2011-11-08,76.586,1275.92
