date,PPI(YoY),Core PPI(YoY),YoY: Goods,YoY: Services,YoY: Construction,PPI(MoM),Core PPI(MoM),MoM: Goods,MoM: Services,MoM: Construction
2009-12-01,,,,,,0.1,,0.4,-0.1,0
2010-01-01,,,,,,0.9,,1.1,0.8,0.2
2010-02-01,,,,,,-0.2,,-0.6,0,0
2010-03-01,,,,,,0.1,,0.7,-0.3,-0.2
2010-04-01,,,,,,0.3,,0.2,0.4,0.3
2010-05-01,,,,,,0.2,0.3,0,0.4,0
2010-06-01,,,,,,-0.2,-0.1,-0.4,-0.1,-0.1
2010-07-01,,,,,,0.2,0.2,0.1,0.2,0.1
2010-08-01,,,,,,0.2,0,0.6,-0.1,-0.1
2010-09-01,,,,,,0.3,0.2,0.4,0.3,0
2010-10-01,,,,,,0.4,0.1,1.1,0,0.4
2010-11-01,2.6,,4.2,1.6,0.5,0.3,0.1,0.6,0.1,-0.1
2010-12-01,2.8,,4.8,1.7,0.5,0.3,0.1,1,0,0
2011-01-01,2.5,,4.6,1.3,0.8,0.6,0.4,0.9,0.4,0.5
2011-02-01,3.3,,6.5,1.4,0.7,0.6,0.3,1.2,0.1,-0.1
2011-03-01,3.9,,6.6,2.3,1,0.7,0.5,0.7,0.6,0.1
2011-04-01,4,2.4,7.4,2.2,1.5,0.5,0.3,1,0.3,0.8
2011-05-01,4.1,2.3,7.9,2,1.5,0.3,0.2,0.5,0.2,0
2011-06-01,4.4,2.6,8.1,2.3,1.6,0.1,0.2,-0.2,0.2,0
2011-07-01,4.4,2.6,8.4,2.2,2.6,0.2,0.2,0.4,0.1,1.1
2011-08-01,4.4,3,7.5,2.7,2.8,0.2,0.4,-0.3,0.4,0.1
2011-09-01,4.5,3,7.9,2.6,2.8,0.4,0.2,0.7,0.2,0
2011-10-01,3.7,2.6,6.3,2.2,3.7,-0.4,-0.3,-0.4,-0.4,1.3
2011-11-01,3.7,2.7,6,2.5,3.9,0.3,0.2,0.3,0.4,0.1
2011-12-01,3.3,2.6,4.8,2.3,3.9,-0.1,0,-0.2,-0.2,0
2012-01-01,3.1,2.6,4.2,2.4,4,0.4,0.4,0.4,0.5,0.6
2012-02-01,2.8,2.6,3.3,2.5,4.1,0.3,0.3,0.4,0.3,0
2012-03-01,2.3,2.3,2.8,2.1,4.2,0.2,0.2,0.3,0.2,0.2
2012-04-01,2.1,2.2,1.7,2.1,3.7,0.3,0.3,-0.1,0.3,0.4
2012-05-01,1.7,2.2,0.5,2.2,3.7,-0.1,0.2,-0.7,0.3,0
2012-06-01,1.3,1.9,0.1,1.9,3.7,-0.3,-0.1,-0.6,-0.1,0
2012-07-01,1,1.7,-0.1,1.7,2.6,-0.1,-0.1,0.2,-0.1,0
