date,AUDUSD,USDZAR,USDBRL,USDIDR,USDINR,GBPUSD,EURUSD,USDJPY,USDRMB,USDCAD,USDNTD,USDMXN,USDTRY
2010-10-27,,,,,44.52,,,,,,,,
2010-10-28,,,,,44.49,,,,,,,,
2010-10-29,,,,,44.54,,,,,,,,
2010-11-01,,,,,44.42,,,,,,,,
2010-11-02,,,,,44.43,,,,,,,,
2010-11-03,,,,,44.36,,,,,,,,
2010-11-04,,,,,44.32,,,,,,,,
2010-11-08,,,,,44.26,,,,,,,,
2010-11-09,,,,,44.4,,,,,,,,
2010-11-10,,,,,44.39,,,,,,,,
2010-11-11,,,,,44.25,,,,,,,,
2010-11-12,,,,,44.64,,,,,,,,
2010-11-15,,,,,45.14,,,,,,,,
2010-11-16,,,,,45.22,,,,,,,,
2010-11-18,,,,,45.45,,,,,,,,
2010-11-19,,,,,45.26,,,,,,,,
2010-11-22,,,,,45.29,,,,,,,,
2010-11-23,,,,,45.61,,,,,,,,
2010-11-24,,,,,45.66,,,,,,,,
2010-11-25,,,,,45.64,,,,,,,,
2010-11-26,,,,,45.74,,,,,,,,
2010-11-29,,,,,45.81,,,,,,,,
2010-11-30,,,,,46.04,,,,,,,,
2010-12-01,,,,,45.7,,,,,,,,
2010-12-02,,,,,45.37,,,,6.6691,,,,
2010-12-03,,,,9014.0,45.09,,,,6.6605,,,,
2010-12-06,,,,9008.0,44.85,,,,6.6515,,,,
2010-12-07,,,,,44.84,,,,6.6565,,,,
2010-12-08,,,,9020.0,45.12,,,,6.6616,,,,
2010-12-09,,,,9011.0,45.17,,,,6.6654,,,,
2010-12-10,,,,9015.0,45.22,,,,6.6604,,,,
2010-12-13,,,,9019.0,45.25,,,,6.663,,,,
2010-12-14,,,,9011.0,45.01,,,,6.6531,,,,
2010-12-15,,,,9018.0,45.32,,,,6.6566,,,,
2010-12-16,,,,9036.0,45.39,,,,6.6635,,,,
2010-12-17,,,,9034.0,,,,,6.6593,,,,
2010-12-20,,,,9045.0,45.38,,,,6.6623,,,,
2010-12-21,,,,9041.0,45.26,,,,6.6597,,,,
2010-12-22,,,,9050.0,45.13,,,,6.6548,,,,
2010-12-23,,,,9048.0,45.02,,,,6.6466,,,,
2010-12-24,,,,,45.23,,,,6.6371,,,,
2010-12-27,,,,9041.0,45.15,,,,6.6305,,,,
2010-12-28,,,,9032.0,45.17,,,,6.6252,,,,
2010-12-29,,,,9014.0,45.12,,,,6.6247,,,,
2010-12-30,,,,8978.0,44.9,,,,6.6229,,,,
2010-12-31,,,,8991.0,44.81,,,,6.6227,,,,
2011-01-03,,,,8976.0,44.67,,,,,,,,
2011-01-04,,,,8976.0,44.84,,,,6.6215,,,,
2011-01-05,,,,8987.0,45.2,,,81.96,6.6295,,,,
2011-01-06,,,,8994.0,45.31,,,83.13,6.6322,,,,
2011-01-07,,,,9002.0,45.37,,,83.48,6.6341,,,,
2011-01-10,,,,9026.0,45.44,,,,6.6349,,,,
2011-01-11,,,,9088.0,45.32,,,83.11,6.6216,,,,
2011-01-12,,,,9045.0,45.16,,,83.01,6.6128,,,,
2011-01-13,,,,9038.0,45.13,,,83.01,6.5997,,,,
2011-01-14,,,,9064.0,45.3,,,82.51,6.5896,,,,
2011-01-17,,,,9065.0,45.59,,,82.91,6.5897,,,,
2011-01-18,,,,9065.0,45.53,,,82.54,6.5891,,,,
2011-01-19,,,,9044.0,45.38,,,82.06,6.5885,,,,
2011-01-20,,,,9068.0,45.58,,,82.2,6.5883,,,,
2011-01-21,,,,9075.0,45.7,,,82.78,6.5886,,,,
2011-01-24,,,,9059.0,45.58,,,82.84,6.5883,,,,
2011-01-25,,,,9052.0,45.53,,,82.41,6.5881,,,,
2011-01-26,,,,9038.0,,,,82.15,6.5878,,,,
2011-01-27,,,,9032.0,45.57,,,82.86,6.5876,,,,
2011-01-28,,,,9034.0,45.74,,,82.65,6.593,,,,
2011-01-31,,,,9057.0,45.95,,,82.04,6.5891,,,,
2011-02-01,,,,9042.0,45.81,,,81.8,6.586,,,,
2011-02-02,,,,9017.0,45.63,,,81.48,,,,,
2011-02-03,,,,,45.63,,,81.55,,,,,
2011-02-04,,,,9030.0,45.64,,,81.6,,,,,
2011-02-07,,,,8975.0,45.59,,,82.47,,,,,
2011-02-08,,,,8917.0,45.39,,,82.13,,,,,
2011-02-09,,,,8917.0,45.33,,,82.42,6.585,,,,
2011-02-10,,,,8924.0,45.58,,,82.63,6.5849,,,,
2011-02-11,,,,8931.0,45.76,,,,6.5952,,,,
2011-02-14,,,,8921.0,45.5,,,83.19,6.5985,,,,
2011-02-15,,,,,45.45,,,83.6,6.5929,,,,
2011-02-16,,,,8904.0,,,,83.73,6.5855,,,,
2011-02-17,,,,8877.0,45.38,,,83.54,6.58,,,,
2011-02-18,,,,8858.0,45.18,,,83.29,6.5781,,,,
2011-02-21,,,,8845.0,45.11,,,83.13,6.5705,,,,
2011-02-22,,,,8873.0,45.2,,,83.25,6.5772,,,,
2011-02-23,,,,8857.0,45.2,,,82.72,6.5828,,,,
2011-02-24,,,,8857.0,45.37,,,81.87,6.5795,,,,
2011-02-25,,,,8858.0,45.37,,,81.83,6.5757,,,,
2011-02-28,,,,8823.0,45.18,,,81.68,6.5752,,,,
2011-03-01,,,,8812.0,45.12,,,82.19,6.5706,,,,
2011-03-02,,,,8824.0,,,,82.05,6.5736,,,,
2011-03-03,,,,8809.0,44.96,,,81.89,6.5695,,,,
2011-03-04,,,,8793.0,44.99,,,82.41,6.5671,,,,
2011-03-07,,,,8789.0,45.13,,,82.23,6.5651,,,,
2011-03-08,,,,8789.0,45.03,,,82.45,6.5687,,,,
2011-03-09,,,,8784.0,45.02,,,82.82,6.5748,,,,
2011-03-10,,,,8774.0,45.11,,,82.77,6.5713,,,,
2011-03-11,,,,8784.0,45.21,,,82.8,6.575,,,,
2011-03-14,,,,8771.0,45.15,,,82.1,6.5701,,,,
2011-03-15,,,,8773.0,45.27,,,81.52,6.5679,,,,
2011-03-16,,,,8780.0,45.18,,,80.93,6.5718,,,,
2011-03-17,,,,8793.0,45.24,,,79.22,6.569,,,,
2011-03-18,,,,8773.0,45.09,,,81.7,6.5668,,29.6,,
2011-03-21,,,,8751.0,45.05,,,,6.5632,,29.572,,
2011-03-22,,,,8710.0,44.97,,,81.03,6.5592,,29.542,,
2011-03-23,,,,8721.0,44.96,,,80.74,6.5601,,29.585,,
2011-03-24,,,,8722.0,44.77,,,80.87,6.5625,,29.583,,
2011-03-25,,,,8708.0,44.65,,,80.99,6.558,,29.488,,
2011-03-28,,,,8718.0,44.78,,,81.69,6.5618,,29.499,,
2011-03-29,,,,8712.0,44.67,,,81.73,6.5625,,29.477,,
2011-03-30,,,,8715.0,44.77,,,83.01,6.5586,,29.51,,
